TOP 50 FALSE POSITIVES (REAL flagged as FAKE):
 1. Filename: Au_txt_00015.jpg                              | Prob FAKE: 0.8813 | Source: DSLR
12. Filename: Tp_D_NRN_M_N_art00049_nat00059_11759.jpg      | Prob FAKE: 0.2372 | Source: FLUX
13. Filename: Tp_D_CRN_S_N_nat00004_art00025_11426.jpg      | Prob FAKE: 0.2423 | Source: FLUX
14. Filename: Tp_D_NNN_S_N_sec00051_sec00055_11240.jpg      | Prob FAKE: 0.2607 | Source: CHATGPT
15. Filename: Tp_S_NRN_S_N_ani10214_ani10214_12379.jpg      | Prob FAKE: 0.2666 | Source: MIDJOURNEY
16. Filename: Tp_D_NRN_S_N_cha10137_cha10140_12208.jpg      | Prob FAKE: 0.2763 | Source: FLUX
17. Filename: Tp_D_CRN_M_N_cha00050_cha00026_11787.jpg      | Prob FAKE: 0.2799 | Source: MIDJOURNEY
18. Filename: Tp_D_NNN_S_B_arc00023_cha00023_20092.jpg      | Prob FAKE: 0.2808 | Source: FLUX
19. Filename: Tp_D_NRN_S_N_cha00008_art10102_11163.jpg      | Prob FAKE: 0.2913 | Source: SDXL
20. Filename: Tp_S_NRN_S_N_cha10206_cha10206_12343.jpg      | Prob FAKE: 0.3041 | Source: SDXL
21. Filename: Tp_D_CRN_S_N_cha00053_art00014_11817.jpg      | Prob FAKE: 0.3161 | Source: MIDJOURNEY
22. Filename: Tp_D_NNN_S_N_nat00063_cha00042_11113.jpg      | Prob FAKE: 0.3304 | Source: SDXL
23. Filename: Tp_S_NNN_S_N_nat10161_nat10161_12078.jpg      | Prob FAKE: 0.3368 | Source: FLUX
24. Filename: Tp_S_NRN_S_N_ind00089_ind00089_10642.jpg      | Prob FAKE: 0.3373 | Source: FLUX
25. Filename: Tp_D_NNN_M_N_arc00008_cha00050_11769.jpg      | Prob FAKE: 0.3381 | Source: MIDJOURNEY
26. Filename: Tp_S_NNN_S_N_nat00015_nat00015_11051.jpg      | Prob FAKE: 0.3392 | Source: SDXL
27. Filename: Tp_S_NRN_S_N_sec00062_sec00062_11261.jpg      | Prob FAKE: 0.3422 | Source: FLUX
28. Filename: Tp_S_CRD_S_N_cha10204_cha10204_12351.jpg      | Prob FAKE: 0.3531 | Source: SDXL
29. Filename: Tp_D_NRN_S_N_cha10209_pla00050_12336.jpg      | Prob FAKE: 0.3548 | Source: FLUX
30. Filename: Tp_D_NRN_S_N_ind10104_pla00050_11551.jpg      | Prob FAKE: 0.3551 | Source: FLUX
31. Filename: Tp_D_NRN_M_N_art10115_cha10110_11536.jpg      | Prob FAKE: 0.3578 | Source: SDXL
32. Filename: Tp_S_NNN_S_N_cha10209_cha10209_12334.jpg      | Prob FAKE: 0.3587 | Source: FLUX
33. Filename: Tp_D_NRN_S_N_nat00030_cha00042_11090.jpg      | Prob FAKE: 0.3591 | Source: SDXL
34. Filename: Tp_D_CNN_S_N_ani00053_ani00051_11148.jpg      | Prob FAKE: 0.3594 | Source: SDXL
35. Filename: Tp_D_CRN_S_N_ani10116_sec00098_11616.jpg      | Prob FAKE: 0.3611 | Source: MIDJOURNEY
36. Filename: Tp_D_NNN_M_N_art00023_nat00059_11875.jpg      | Prob FAKE: 0.3673 | Source: CHATGPT
37. Filename: Tp_S_NNN_S_N_nat10162_nat10162_12087.jpg      | Prob FAKE: 0.3679 | Source: MIDJOURNEY
38. Filename: Tp_D_NRN_M_N_nat10144_nat00099_11966.jpg      | Prob FAKE: 0.3711 | Source: FLUX
39. Filename: Tp_D_NRN_S_N_sec00023_ind00042_10886.jpg      | Prob FAKE: 0.3722 | Source: FLUX
40. Filename: Tp_D_NRN_M_N_nat10161_nat10158_12083.jpg      | Prob FAKE: 0.3749 | Source: MIDJOURNEY
41. Filename: Tp_S_CNN_M_N_txt00006_txt00006_10839.jpg      | Prob FAKE: 0.3749 | Source: SDXL
42. Filename: Tp_D_NNN_M_N_cha10166_nat10156_12272.jpg      | Prob FAKE: 0.3756 | Source: CHATGPT
43. Filename: Tp_D_NRN_S_N_arc00059_cha00062_11824.jpg      | Prob FAKE: 0.3764 | Source: MIDJOURNEY
44. Filename: Tp_D_NNN_S_B_nat00027_nat00030_11094.jpg      | Prob FAKE: 0.3795 | Source: CHATGPT
45. Filename: Tp_S_NRN_S_B_cha10146_cha10146_12229.jpg      | Prob FAKE: 0.3807 | Source: CHATGPT
46. Filename: Tp_D_NRD_S_N_art00070_art00092_11822.jpg      | Prob FAKE: 0.3823 | Source: FLUX
47. Filename: Tp_D_NRN_S_N_arc00016_arc00020_11703.jpg      | Prob FAKE: 0.3831 | Source: CHATGPT
48. Filename: Tp_D_NRN_S_N_nat00019_cha00021_20022.jpg      | Prob FAKE: 0.3883 | Source: MIDJOURNEY
49. Filename: Tp_D_NRN_S_N_pla00077_pla00053_11213.jpg      | Prob FAKE: 0.3924 | Source: MIDJOURNEY
50. Filename: Tp_D_NRN_S_N_cha10109_ani00017_11588.jpg      | Prob FAKE: 0.3939 | Source: FLUX
